accent:5
apparatus:4
applied:5
bury:2
cruel:3
mark:2
sleeve:5
us:3
boom:5
element:3
huge:4
neighbour:11
plane:3
protest:15
request:5
valid:6
whisper:10
chop:2
conflict:3
convenienc:1
convenience:4
critic:2
integrated:2
monstrous:3
pigeon:3
reptile:3
social:2
vigorous:3
bridge:1
